employee_id,age,department,education,years_exp,annual_income,credit_score,loan_amount,satisfaction,churned
10112,37,HR,High School,7,14215,570,1000.0,5.0,0
10113,38,Engineering,Master's,9,61689,628,5570.098978030297,5.0,0
10114,67,Engineering,Bachelor's,40,34658,735,6937.0437069630225,4.0,0
10115,35,Engineering,Master's,13,32588,599,13363.780993375538,2.0,1
10116,41,HR,Bachelor's,21,246684,775,6622.920848346101,3.0,0
10117,37,Engineering,Bachelor's,15,43445,639,16899.83333057408,3.0,0
10118,23,Sales,Bachelor's,0,23130,647,,4.0,0
10119,51,Engineering,Bachelor's,24,28118,662,31125.375908074282,2.0,1
10120,47,Finance,Bachelor's,27,72335,693,21685.25123165477,4.0,0
10121,47,Operations,Master's,24,38869,680,2330.396754586378,5.0,0
10122,27,Sales,Bachelor's,8,15321,558,29603.609694619277,4.0,0
10123,54,Marketing,PhD,22,63040,714,4550.468595488982,5.0,1
10124,21,Engineering,High School,2,24321,638,38587.437402660114,4.0,0
10125,45,Engineering,Bachelor's,24,111745,721,7193.943833226096,3.0,0
10126,64,Engineering,Bachelor's,40,69426,775,13491.291953759395,2.0,0
10127,26,Sales,Master's,4,27767,585,10787.664151134039,5.0,0
10128,31,Sales,High School,12,78324,731,48941.91261587209,4.0,0
10129,39,Operations,Bachelor's,12,37824,660,3382.451197846861,4.0,1
10130,31,Marketing,Master's,12,60576,658,20847.320902682608,3.0,0
10131,19,HR,Bachelor's,0,48573,638,3830.5746987508783,4.0,0
10132,38,Sales,Master's,19,21855,651,30502.20202780069,1.0,1
10133,25,Sales,High School,5,24683,678,58867.52808932154,2.0,1
10134,43,Engineering,Master's,22,67371,654,14255.88427245508,,1
10135,26,Marketing,PhD,6,29706,605,16740.27165024699,4.0,0
10136,56,Marketing,Master's,37,28504,738,65577.62396843599,2.0,1
10137,28,HR,Bachelor's,9,20474,610,18400.91759913246,2.0,1
10138,34,Operations,High School,14,46824,701,16716.166516530982,4.0,0
10139,47,Marketing,Master's,24,125180,816,21588.253335665882,4.0,0
10140,23,Engineering,Bachelor's,0,19138,599,29217.533547736013,4.0,0
10141,40,Sales,High School,21,36847,698,2825.9526906565516,4.0,0
10142,53,Sales,Master's,33,84739,687,43024.67843182236,5.0,0
10143,18,Engineering,Bachelor's,0,34620,657,14295.595036522054,1.0,1
10144,40,HR,High School,21,47639,688,1877.4791547698048,3.0,0
10145,41,Operations,Bachelor's,19,19198,672,38565.83057158986,,0
10146,47,Operations,High School,26,46956,663,11828.21152873781,2.0,0
10147,23,Engineering,Bachelor's,4,32458,567,2644.223173243761,,0
10148,22,Finance,Bachelor's,3,65607,678,25112.960266241975,4.0,0
10149,44,HR,Bachelor's,25,74045,626,53033.96869180751,5.0,0
10150,41,Marketing,Master's,17,171740,758,54676.45042789124,5.0,0
10151,41,Sales,Master's,11,51419,700,,,0
10152,42,Finance,Bachelor's,23,44155,688,50568.111919763505,2.0,0
10153,29,Sales,High School,10,40807,730,1000.0,5.0,0
10154,40,Marketing,Master's,15,29380,694,11960.621367517813,2.0,1
10155,41,Sales,Bachelor's,15,44493,639,42668.35632076108,4.0,0
10156,29,Sales,Bachelor's,9,30417,643,11402.636682021295,4.0,0
10157,60,Engineering,Bachelor's,40,40178,710,23004.237764223435,3.0,0
10158,43,Operations,Bachelor's,24,80062,648,23305.228209409324,4.0,0
10159,23,Sales,Master's,2,19852,582,11354.253244086736,2.0,1
10160,45,Sales,High School,25,71964,685,58708.90139988171,3.0,0
10161,26,Engineering,Master's,7,80038,596,17490.6201480202,5.0,0
10162,47,Sales,High School,26,33831,680,15627.131500584786,3.0,0
10163,51,Engineering,Master's,32,10166,662,149924.44957398387,2.0,1
10164,28,Engineering,High School,5,25217,563,17005.791852362,4.0,0
10165,49,Sales,High School,29,79078,737,4912.487318178425,5.0,0
10166,42,Marketing,Bachelor's,23,35820,703,17990.842953551062,2.0,1
10167,47,Sales,Bachelor's,26,19938,677,42052.46463076534,3.0,0
10168,60,Engineering,Bachelor's,40,26826,688,37498.934170250664,5.0,0
10169,35,Marketing,Bachelor's,6,60136,683,38847.92378752372,2.0,0
10170,28,Engineering,Bachelor's,7,50414,681,30777.073301972414,3.0,1
10171,27,Operations,High School,8,31465,653,7333.042937136881,4.0,0
10172,28,Sales,Bachelor's,6,29141,602,49527.77743043074,4.0,0
10173,37,HR,Master's,18,28708,670,55976.98982854415,5.0,0
10174,42,Marketing,Master's,16,20880,696,,2.0,1
10175,41,Engineering,Master's,21,95724,694,3494.648117420882,5.0,0
10176,47,Operations,Master's,26,29929,759,,5.0,0
10177,38,Engineering,Bachelor's,19,75379,677,50685.266078298155,3.0,0
10178,55,Marketing,High School,35,90471,743,55928.396669188005,1.0,0
10179,34,Sales,Bachelor's,10,66104,645,54371.5978118003,5.0,0
10180,70,Engineering,Master's,40,28029,711,19505.06345566659,4.0,0
10181,45,Finance,PhD,26,46269,619,25989.846490397245,4.0,0
10182,27,Sales,Bachelor's,8,35792,622,19706.39138505239,4.0,0
10183,25,Engineering,High School,1,21115,575,1314.0985643030351,5.0,0
10184,43,Engineering,High School,17,44117,674,34211.6641564663,5.0,0
10185,35,Engineering,Bachelor's,16,17900,686,17596.712897479454,3.0,0
10186,46,Finance,Bachelor's,26,74058,737,26082.448816683245,3.0,0
10187,43,HR,High School,23,27480,573,17461.01942254531,5.0,0
10188,37,Engineering,PhD,12,40974,738,16922.56219023066,5.0,0
10189,27,Engineering,Bachelor's,8,43043,662,4712.186458218376,4.0,0
10190,19,HR,Master's,0,31090,593,8167.978853218677,5.0,0
10191,32,Sales,Master's,9,51638,665,4324.711903397303,4.0,0
10192,48,Marketing,Master's,29,27311,686,5443.526018059759,3.0,0
10193,40,Marketing,Bachelor's,19,61253,660,90277.02503734424,5.0,0
10194,23,Engineering,Bachelor's,3,16194,626,4154.713290962986,4.0,0
10195,40,Sales,Bachelor's,20,39176,647,7842.795629153411,1.0,1
10196,42,Operations,Bachelor's,22,116233,720,22325.93360193524,3.0,0
10197,27,Engineering,Bachelor's,6,19926,600,23551.66331268325,4.0,0
10198,39,Sales,PhD,20,24181,602,4180.1335086109275,5.0,0
10199,38,Marketing,Master's,17,49431,679,39462.70826627523,3.0,0
10200,24,Marketing,Master's,1,40447,657,38451.53169965062,3.0,0
10201,42,Engineering,Master's,19,44818,694,6772.843065521956,4.0,0
10202,44,Finance,Bachelor's,25,48703,721,8515.340602148808,5.0,0
10203,50,Sales,High School,31,53147,717,,4.0,0
10204,50,Sales,Bachelor's,31,70673,697,43670.337968933934,4.0,0
10205,21,Marketing,Bachelor's,1,46438,672,,4.0,0
10206,26,Engineering,Master's,6,31421,582,2145.299364298249,3.0,0
10207,44,Engineering,Bachelor's,22,54368,651,13543.467037010514,4.0,0
10208,44,HR,Bachelor's,25,113542,702,20484.878877628962,3.0,0
10209,44,Engineering,Bachelor's,25,33537,720,5188.254667960473,5.0,0
10210,75,HR,High School,40,20237,733,14865.444795165928,2.0,1
10211,44,Marketing,Bachelor's,22,70562,719,22971.46800142211,4.0,0
10212,51,Marketing,Master's,32,33784,733,9914.245225606253,3.0,0
10213,49,Marketing,Bachelor's,27,9861,626,37960.7903160423,4.0,0
10214,45,Marketing,Bachelor's,26,60382,714,45884.882603227736,3.0,0
10215,34,Engineering,Bachelor's,9,26338,634,9774.616545259925,3.0,0
10216,47,Marketing,Bachelor's,22,34395,705,45605.5925728544,3.0,1
10217,28,Sales,High School,8,44319,646,2733.5598791205425,4.0,0
10218,35,Sales,PhD,16,40712,649,45462.202741161054,3.0,0
10219,32,Engineering,Bachelor's,12,55585,690,4143.999449692985,4.0,0
10220,38,Marketing,Bachelor's,19,27964,695,2164.209219480825,4.0,0
10221,65,Engineering,Bachelor's,40,49407,692,25664.878184850677,4.0,0
10222,18,Engineering,Master's,0,31078,622,15963.509421196544,4.0,0
10223,46,Engineering,Bachelor's,24,56572,650,59619.45706089758,5.0,0
10224,18,Finance,Bachelor's,0,52534,542,11282.066966453673,3.0,0
10225,32,Engineering,High School,12,20717,648,8462.185864550745,3.0,0
10226,51,Engineering,Master's,32,69674,744,17365.45185205068,5.0,0
10227,38,Engineering,Bachelor's,15,26328,661,15217.677844985019,3.0,0
10228,25,Engineering,Bachelor's,5,58972,579,10556.18031231074,5.0,0
10229,29,Sales,Bachelor's,7,45268,636,29583.12762783011,3.0,0
10230,46,Engineering,Bachelor's,27,109415,652,35632.308204119676,,0
10231,29,Engineering,Master's,10,31758,700,47930.34109831555,3.0,1
10232,40,Sales,Master's,7,29448,594,90165.53824031133,5.0,0
10233,38,Marketing,Bachelor's,19,35894,716,,4.0,0
10234,30,HR,Master's,0,30275,662,31477.75646760599,3.0,0
10235,63,Sales,Master's,33,58686,676,,2.0,0
10236,45,Engineering,PhD,22,13769,609,28258.91927745585,,0
10237,18,Sales,Bachelor's,0,19298,629,,4.0,0
10238,40,Engineering,Bachelor's,19,19135,619,126971.92767075812,3.0,0
10239,30,Sales,Bachelor's,5,64227,665,32631.885018703248,3.0,0
10240,48,Marketing,Master's,28,101353,717,76171.06089900408,4.0,0
10241,28,Engineering,High School,8,34109,572,45040.631837742,4.0,0
10242,36,Sales,Bachelor's,15,32817,567,58300.60793420076,3.0,0
10243,44,Finance,Bachelor's,24,37874,687,42106.62243120872,3.0,0
10244,48,Operations,Bachelor's,28,72920,691,15365.75461447732,4.0,0
10245,23,Sales,Bachelor's,3,20818,600,7251.738115287579,5.0,0
10246,33,Marketing,Master's,12,41899,685,11563.595094560053,3.0,0
10247,32,Engineering,Bachelor's,8,65193,715,1000.0,4.0,0
10248,30,Engineering,Master's,11,49052,650,18558.07676969776,2.0,1
10249,59,Marketing,Bachelor's,32,40690,682,17582.85728636086,3.0,0
10250,42,Marketing,Bachelor's,20,66212,712,,4.0,1
10251,22,Operations,Bachelor's,0,7172,551,91271.5105788893,3.0,0
10252,49,Marketing,High School,28,54541,708,,4.0,0
10253,63,Marketing,Bachelor's,40,24527,721,4409.862265036923,5.0,0
10254,50,Marketing,Master's,31,12107,698,11506.581389251887,5.0,0
10255,19,Finance,Bachelor's,0,49351,562,13789.288596481314,2.0,0
10256,32,Sales,Master's,13,82800,661,,3.0,0
10257,53,Sales,Bachelor's,28,33440,647,40048.64665134163,5.0,0
10258,29,Marketing,High School,0,64326,655,18560.41415649018,3.0,0
10259,43,Finance,High School,23,95546,741,21221.633195578223,4.0,0
10260,47,Engineering,Bachelor's,28,79933,779,47935.37336176717,,0
10261,26,Finance,Bachelor's,3,97146,663,,,0
10262,37,Sales,High School,18,56685,661,3545.182097603238,3.0,1
10263,18,Marketing,Bachelor's,0,37996,676,31286.621392529847,5.0,1
10264,25,Sales,Bachelor's,6,13888,634,14292.543886810192,5.0,0
10265,34,Sales,Bachelor's,15,31330,705,8726.489757379708,3.0,0
10266,23,Engineering,Master's,0,21895,629,1282.827651494651,5.0,0
10267,57,Finance,Bachelor's,35,133594,730,16699.150614643637,3.0,0
10268,20,Marketing,Bachelor's,0,32678,572,10979.55539624953,2.0,1
10269,32,Marketing,Master's,12,39101,593,7242.537408788964,4.0,0
10270,39,Engineering,Bachelor's,17,50558,700,29659.194619075446,4.0,0
10271,55,Marketing,Bachelor's,34,37278,745,,3.0,0
10272,20,Sales,Bachelor's,0,100411,754,7018.969646082915,3.0,0
10273,51,Marketing,High School,29,24994,711,1267.7954469275487,5.0,0
10274,38,Sales,Master's,17,40813,713,47220.97593018371,5.0,0
10275,26,Marketing,Bachelor's,6,23260,607,1000.0,5.0,0
10276,43,Operations,PhD,24,16448,614,69160.19416268828,2.0,1
10277,40,Sales,Master's,17,25158,688,24696.002557595235,4.0,0
10278,30,Finance,Bachelor's,11,35517,667,9709.545371338496,3.0,0
10279,38,Engineering,Bachelor's,16,28068,658,7074.923606517519,5.0,0
10280,33,Marketing,Bachelor's,14,23969,662,1000.0,2.0,1
10281,39,Marketing,Bachelor's,18,15618,661,,3.0,0
10282,45,Sales,Bachelor's,22,34549,722,3704.621563158582,4.0,0
10283,57,Finance,Bachelor's,38,14723,739,23679.46087689188,5.0,0
10284,23,Engineering,Bachelor's,4,57298,675,,4.0,1
10285,63,Engineering,Bachelor's,40,38156,744,18802.789651594896,3.0,0
10286,18,Finance,PhD,0,15145,632,22297.052913623054,4.0,0
10287,36,Engineering,High School,12,30166,629,8847.031901877914,5.0,0
10288,45,Sales,PhD,26,23125,700,1000.0,,1
10289,41,Sales,Master's,19,43980,617,,5.0,0
10290,30,Finance,Bachelor's,10,81167,727,1000.0,,0
10291,35,Engineering,Master's,15,11788,591,,1.0,1
10292,32,Engineering,Bachelor's,6,38910,654,9568.496279322746,1.0,1
10293,30,Sales,Bachelor's,10,32988,612,39777.69671746399,3.0,0
10294,48,Operations,Bachelor's,28,54328,721,14129.08975742192,2.0,0
10295,42,Marketing,Bachelor's,23,41271,677,,4.0,1
10296,29,Marketing,Bachelor's,10,23128,574,17981.25305854478,4.0,0
10297,48,Sales,Bachelor's,29,29988,698,31209.566833098055,4.0,1
10298,41,Operations,Bachelor's,22,22525,638,7988.018517166959,,0
10299,47,Finance,Bachelor's,26,69258,742,3240.9701653888774,4.0,0
10300,45,Operations,Bachelor's,25,36782,679,20301.496455060973,4.0,0
10301,28,Engineering,High School,7,113631,720,9899.417515557683,5.0,0
10302,31,Engineering,High School,12,35017,613,14606.929872618419,2.0,1
10303,46,Sales,Bachelor's,26,23740,647,26028.40663900892,4.0,0
10304,45,Finance,High School,23,14643,639,17036.678521379323,5.0,0
10305,37,Engineering,High School,8,12309,660,24207.950619636777,4.0,0
10306,39,Engineering,Master's,20,14037,718,19642.529170193397,3.0,1
10307,53,Finance,High School,28,42628,657,33657.269240867,3.0,0
10308,30,Engineering,Master's,9,49278,700,30598.99872159707,5.0,0
10309,44,Marketing,Bachelor's,23,14062,570,19099.430526398264,3.0,0
10310,35,Sales,Master's,14,62132,629,,5.0,0
10311,35,Sales,Bachelor's,16,27178,615,51699.60615144185,5.0,0
10312,51,HR,Bachelor's,32,39659,641,14152.789842570093,3.0,0
10313,47,Marketing,Bachelor's,26,95543,665,,4.0,0
10314,47,Sales,Bachelor's,27,62199,720,36124.11955633799,1.0,0
10315,53,Sales,Bachelor's,27,30911,670,21839.992350122746,3.0,0
10316,38,Sales,High School,18,21274,668,1841.3459651151893,,0
10317,46,Sales,PhD,27,9985,689,55666.54431071342,4.0,0
10318,34,Engineering,Bachelor's,12,23588,653,1000.0,3.0,0
10319,41,Engineering,Bachelor's,21,31994,693,34497.50679468806,5.0,0
10320,36,Engineering,Master's,15,20084,643,35552.613261128885,3.0,0
10321,39,Engineering,Bachelor's,17,33565,613,76499.34978557983,4.0,0
10322,45,Sales,Master's,20,38029,712,1391.3700197059804,4.0,0
10323,28,Finance,Bachelor's,5,31732,611,22711.589898520604,3.0,0
10324,63,HR,Master's,40,24587,662,13958.440093957794,5.0,0
10325,25,Finance,High School,3,40182,631,10035.568046531489,4.0,0
10326,23,Marketing,Master's,0,47342,601,,4.0,0
10327,51,Marketing,Master's,31,18878,660,20675.772719544657,4.0,0
10328,47,Marketing,Bachelor's,28,84673,737,16302.085214136941,3.0,1
10329,45,Engineering,High School,26,34229,693,2760.846811321716,3.0,0
10330,45,Engineering,Bachelor's,26,36728,645,23700.308802405263,4.0,1
10331,37,Sales,PhD,15,55543,654,33480.79652237167,5.0,0
10332,27,Operations,Bachelor's,5,41769,686,36447.79911083991,5.0,0
10333,38,Engineering,Bachelor's,17,64336,705,58945.36052269274,3.0,0
10334,29,Engineering,High School,10,43142,737,13168.402413575417,4.0,0
10335,49,HR,Bachelor's,27,25148,721,76478.928640863,2.0,1
10336,36,Engineering,Bachelor's,16,45111,713,50141.658709055795,2.0,0
10337,28,Finance,PhD,6,18283,571,8792.240889608225,4.0,0
10338,34,HR,Bachelor's,13,38759,687,4337.505605671318,4.0,0
10339,42,Operations,Master's,22,35598,670,14290.474553191487,3.0,0
10340,31,Marketing,Bachelor's,12,32052,627,12849.878867161324,4.0,1
10341,28,Sales,High School,9,33620,651,21434.000676440875,4.0,0
10342,40,Marketing,Bachelor's,16,11741,679,21889.892575007292,3.0,0
10343,40,Sales,Bachelor's,14,26128,668,34656.057499874885,4.0,0
10344,31,Marketing,PhD,9,38395,613,,3.0,1
10345,32,Engineering,Master's,13,39971,687,2768.3353448261873,,0
10346,40,Sales,Bachelor's,20,19602,630,48849.54969351639,5.0,0
10347,20,Sales,Bachelor's,0,77607,670,9268.063894780047,4.0,0
10348,21,Finance,Bachelor's,0,21596,605,88769.24172680384,5.0,0
10349,29,HR,Master's,10,64969,663,3135.1157153265094,2.0,0
10350,35,Sales,Master's,16,46925,700,79402.09763761694,4.0,0
10351,41,Engineering,Master's,19,24643,616,2385.579343966749,4.0,0
10352,55,HR,Bachelor's,35,105365,832,6567.782600248123,4.0,0
10353,48,Sales,Bachelor's,29,17744,599,1192.4924533640335,5.0,0
10354,36,Finance,Bachelor's,17,63037,660,30529.088603610842,4.0,0
10355,37,Operations,Bachelor's,16,66194,699,,5.0,0
10356,25,Engineering,Bachelor's,1,24285,644,14232.16987282206,3.0,0
10357,37,Finance,High School,9,83740,680,65959.1654701229,3.0,0
10358,34,Engineering,High School,13,31256,648,,4.0,0
10359,41,Marketing,Master's,20,43183,690,24856.788963010702,4.0,1
10360,28,Sales,Master's,9,42454,642,46675.9588251379,5.0,0
10361,44,Engineering,Bachelor's,23,33503,728,8802.855605234763,3.0,0
10362,56,HR,Bachelor's,36,59070,752,,3.0,0
10363,36,Engineering,Bachelor's,15,58459,711,59098.72823883232,4.0,0
10364,42,Engineering,Master's,22,12719,615,,5.0,0
10365,46,Sales,Master's,27,79427,714,93750.55496674476,5.0,0
10366,33,HR,Master's,14,13393,626,58028.48318904602,3.0,0
10367,40,Operations,Master's,20,67476,653,3406.149302188146,2.0,0
10368,38,HR,Bachelor's,19,71397,709,43392.64884182659,4.0,0
10369,39,Sales,Bachelor's,20,18871,633,13183.975340837002,3.0,0
10370,28,Marketing,Bachelor's,0,28382,648,117217.4797804368,5.0,0
10371,38,Engineering,Bachelor's,18,18705,608,15979.781657939619,4.0,0
10372,43,Engineering,Master's,22,31921,738,20176.721661550648,3.0,0
10373,55,Sales,Bachelor's,30,30187,648,18863.594880171895,3.0,0
10374,49,Sales,High School,14,57976,683,9705.505116865821,3.0,0
10375,63,Marketing,Bachelor's,40,79712,775,1949.6355409769174,5.0,0
10376,28,HR,PhD,4,83902,652,56500.410915862856,2.0,0
10377,48,Sales,Bachelor's,28,25918,710,40572.68202754743,3.0,0
10378,40,Engineering,Bachelor's,20,32031,616,3756.8196476567005,5.0,0
10379,64,Engineering,Bachelor's,40,13225,748,37488.62262820827,3.0,0
10380,28,Finance,High School,6,22392,630,24577.239544152748,4.0,0
10381,27,HR,Bachelor's,5,64790,637,,3.0,0
10382,30,Finance,Master's,10,95736,684,7326.45072935742,4.0,0
10383,18,Engineering,Bachelor's,0,17316,646,49104.4367436004,,0
10384,31,Operations,Master's,9,25451,614,30115.01330715225,3.0,0
10385,28,Engineering,Bachelor's,9,35744,616,19837.446077823337,4.0,0
10386,39,Engineering,High School,18,42963,661,23512.570701146225,3.0,0
10387,42,Operations,PhD,20,22342,610,,4.0,0
10388,60,Engineering,Bachelor's,38,46837,786,16057.538302053523,3.0,0
10389,49,Sales,Bachelor's,26,27328,651,5382.494010344103,4.0,0
10390,31,Engineering,Master's,6,36001,674,5841.961193529678,5.0,0
10391,27,Sales,Bachelor's,6,50401,660,27066.30544353389,2.0,0
10392,43,Operations,Master's,21,36455,631,60550.029236794755,3.0,1
10393,22,Marketing,High School,1,27949,624,12927.658089929533,5.0,0
10394,59,Sales,Bachelor's,40,34004,738,5821.934069682025,,0
10395,52,Engineering,High School,33,34440,686,26156.208469031204,2.0,1
10396,32,Sales,Master's,12,29085,694,51234.847463864666,4.0,0
10397,18,Marketing,Bachelor's,0,31092,665,34489.801904604836,3.0,0
